Alabama_UnitedStates,Alaska_UnitedStates,Arizona_UnitedStates,Arkansas_UnitedStates,California_UnitedStates,Connecticut_UnitedStates,Delaware_UnitedStates,DistrictofColumbia_UnitedStates,Florida_UnitedStates,Georgia_UnitedStates,Hawaii_UnitedStates,Idaho_UnitedStates,Illinois_UnitedStates,Indiana_UnitedStates,Iowa_UnitedStates,Kansas_UnitedStates,Kentucky_UnitedStates,Louisiana_UnitedStates,Maine_UnitedStates,Maryland_UnitedStates,Michigan_UnitedStates,Minnesota_UnitedStates,Missouri_UnitedStates,Montana_UnitedStates,Nebraska_UnitedStates,Nevada_UnitedStates,NewHampshire_UnitedStates,NewJersey_UnitedStates,NewMexico_UnitedStates,NewYork_UnitedStates,NorthCarolina_UnitedStates,NorthDakota_UnitedStates,Ohio_UnitedStates,Oklahoma_UnitedStates,Oregon_UnitedStates,Pennsylvania_UnitedStates,RhodeIsland_UnitedStates,SouthCarolina_UnitedStates,SouthDakota_UnitedStates,Tennessee_UnitedStates,Texas_UnitedStates,Utah_UnitedStates,Vermont_UnitedStates,Virginia_UnitedStates,Washington_UnitedStates,Wisconsin_UnitedStates,Wyoming_UnitedStates
0.0,0.0,0.022122,0.001594,0.991856,0.001386,0.000436,0.00074,0.005563,0.0,0.003172,0.002496,0.006075,0.002711,0.001649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000918,0.0,0.033015,0.0,0.0,0.0,0.0,0.0,0.00028,0.0,0.0,0.007437,0.003376,0.000284,0.0,0.000462,0.0,0.0,0.0,0.000377,0.003001,0.0,0.0,0.001276
0.0,0.0,0.022955,0.001592,0.990328,0.001417,0.0004280000000000001,0.000755,0.005673,0.0,0.003272,0.00253,0.006091,0.002731,0.001644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000923,0.0,0.03425,0.0,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,0.0076700000000000015,0.003348,0.000312,0.0,0.000468,0.0,0.0,0.0,0.000354,0.003047,0.0,0.0,0.001242
0.0,0.0,0.022975,0.001518,0.991605,0.001266,0.000401,0.000717,0.005604,0.0,0.003361,0.002586,0.005787,0.002598,0.0015550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000906,0.0,0.034975,0.0,0.0,0.0,0.0,0.0,0.000279,0.0,0.0,0.0077519999999999985,0.003214,0.000297,0.0,0.000418,0.0,0.0,0.0,0.000313,0.00289,0.0,0.0,0.001158
0.0,0.0,0.023726,0.001618,0.992483,0.001279,0.000413,0.000731,0.005693999999999999,0.0,0.0033979999999999995,0.002586,0.00589,0.002644,0.001632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000935,0.0,0.036366,0.0,0.0,0.0,0.0,0.0,0.000281,0.0,0.0,0.007835,0.003274,0.000288,0.0,0.000438,0.0,0.0,0.0,0.000296,0.003022,0.0,0.0,0.001234
0.0,0.0,0.022317,0.001736,0.992696,0.001262,0.000426,0.0007,0.005542,0.0,0.003229,0.002546,0.005867,0.002722,0.001726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000904,0.0,0.033452,0.0,0.0,0.0,0.0,0.0,0.000299,0.0,0.0,0.007373999999999999,0.003232,0.000302,0.0,0.000432,0.0,0.0,0.0,0.000263,0.003058,0.0,0.0,0.00135
0.0,0.0,0.02075,0.001613,0.993407,0.0011,0.000406,0.000736,0.005427,0.0,0.003093,0.002484,0.005544,0.002519,0.001675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008449999999999999,0.0,0.029952,0.0,0.0,0.0,0.0,0.0,0.000282,0.0,0.0,0.006866,0.002999,0.000255,0.0,0.000404,0.0,0.0,0.0,0.000215,0.00304,0.0,0.0,0.001341
0.0,0.0,0.020298,0.001541,0.993532,0.00102,0.000352,0.000739,0.00527,0.0,0.002981,0.0023420000000000003,0.005261999999999999,0.002333,0.0015630000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000811,0.0,0.029027,0.0,0.0,0.0,0.0,0.0,0.000255,0.0,0.0,0.006688,0.002731,0.000254,0.0,0.00037,0.0,0.0,0.0,0.000215,0.00289,0.0,0.0,0.001245
0.0,0.0,0.020313,0.001546,0.992439,0.000962,0.000366,0.000715,0.005229999999999999,0.0,0.0028940000000000003,0.002304,0.005242,0.002314,0.001576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.028863,0.0,0.0,0.0,0.0,0.0,0.000253,0.0,0.0,0.006698999999999999,0.002713,0.000248,0.0,0.000359,0.0,0.0,0.0,0.000187,0.002821,0.0,0.0,0.00124
0.0,0.0,0.021106,0.001463,0.990423,0.000967,0.00036,0.000717,0.005229,0.0,0.002834,0.002256,0.005184,0.002349,0.001553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000769,0.0,0.029367,0.0,0.0,0.0,0.0,0.0,0.000254,0.0,0.0,0.006744,0.002683,0.000252,0.0,0.00034700000000000003,0.0,0.0,0.0,0.000197,0.002801,0.0,0.0,0.001195
0.0,0.0,0.022072,0.001378,0.990103,0.000997,0.000371,0.000736,0.005058,0.0,0.002866,0.002258,0.00508,0.002217,0.00149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000741,0.0,0.030039,0.0,0.0,0.0,0.0,0.0,0.00027400000000000005,0.0,0.0,0.006838,0.002613,0.000258,0.0,0.00035800000000000003,0.0,0.0,0.0,0.000196,0.00279,0.0,0.0,0.001126
